Successfully imported query
Route: /recommend | Name: get_recommendations | Methods: {'GET'}
Route: /predict_tomorrow | Name: predict_tomorrow | Methods: {'GET'}
Route: /search | Name: search_funds | Methods: {'GET'}
Route: /analyze/{code} | Name: analyze_fund | Methods: {'GET'}
Route: /portfolio/diagnose | Name: diagnose_portfolio | Methods: {'POST'}
Route: /search/deep | Name: deep_search_translate | Methods: {'GET'}
Route: /analyze/{code}/v4 | Name: analyze_fund_v4 | Methods: {'GET'}
Route: /fund/{code} | Name: get_fund_info | Methods: {'GET'}
Route: /update-status | Name: get_update_status | Methods: {'GET'}
Route: /models | Name: get_models | Methods: {'GET'}
Route: /models/refresh | Name: refresh_models | Methods: {'GET'}
Route: /health | Name: health_check | Methods: {'GET'}
Route: /snapshot/latest | Name: get_latest_snapshot | Methods: {'GET'}
Route: /themes | Name: get_available_themes | Methods: {'GET'}
Route: /sectors/list | Name: get_sectors | Methods: {'GET'}
Route: /sectors/{sector}/metrics | Name: get_sector_metrics | Methods: {'GET'}
Route: /sectors/{sector}/predict | Name: predict_sector | Methods: {'GET'}
Route: /news/market | Name: get_market_news | Methods: {'GET'}
Route: /news/fund/{code} | Name: get_fund_news | Methods: {'GET'}
Route: /watchlist/add | Name: add_to_watchlist | Methods: {'POST'}
Route: /watchlist/{code} | Name: remove_from_watchlist | Methods: {'DELETE'}
Route: /watchlist | Name: get_watchlist | Methods: {'GET'}
Route: /compare | Name: compare_funds | Methods: {'GET'}
Route: /fund/{code}/nav-history | Name: get_nav_history | Methods: {'GET'}
Route: /fund/{code}/in-watchlist | Name: check_in_watchlist | Methods: {'GET'}
Route: /top-gainers | Name: get_top_gainers | Methods: {'GET'}
Route: /portfolio | Name: get_portfolio | Methods: {'GET'}
Route: /fund/compare | Name: compare_funds | Methods: {'GET'}
Route: /portfolio/diagnose | Name: diagnose_portfolio | Methods: {'GET'}
Route: /portfolio/buy | Name: buy_fund | Methods: {'POST'}
Route: /portfolio/sell | Name: sell_fund | Methods: {'POST'}
Route: /recommendation-history | Name: get_recommendation_history | Methods: {'GET'}
Route: /v1/compare | Name: fund_comparison | Methods: {'POST'}
Route: /v1/ai/chat/query | Name: ai_chat_selection | Methods: {'POST'}
Route: /v1/diagnose/pro | Name: portfolio_diagnose_pro | Methods: {'POST'}
Route: /news | Name: get_news | Methods: {'GET'}
Route: /news/sentiment | Name: get_news_sentiment | Methods: {'GET'}
Route: /prediction/fund/{code} | Name: predict_fund_trend | Methods: {'GET'}
Route: /market/sector-flow | Name: get_sector_flow | Methods: {'GET'}
Route: /market/overview | Name: get_market_overview | Methods: {'GET'}
Route: /ai/deep-analysis | Name: deep_analysis | Methods: {'GET'}
Route: /ai/kb-update | Name: update_kb | Methods: {'POST'}
Route: /fund/{code}/performance-chart | Name: get_fund_performance_chart | Methods: {'GET'}
Route: /fund/{code}/period-returns | Name: get_fund_period_returns | Methods: {'GET'}
Route: /fund/{code}/manager | Name: get_fund_manager_info | Methods: {'GET'}
Route: /daily-report | Name: get_daily_report | Methods: {'GET'}
Route: /hotspots | Name: get_realtime_hotspots | Methods: {'GET'}
Route: /v1/recommendations | Name: get_recommendations_v1 | Methods: {'GET'}
Route: /v1/rankings | Name: get_rankings_v1 | Methods: {'GET'}
Route: /v1/sectors/hot | Name: get_hot_sectors_v1 | Methods: {'GET'}
Route: /v1/market/hotspots | Name: get_market_hotspots_v1 | Methods: {'GET'}
Route: /v1/sectors/{sector}/analyze | Name: analyze_sector_v1 | Methods: {'GET'}
Route: /portfolio/backtest | Name: run_portfolio_backtest | Methods: {'POST'}
Route: /macro/dashboard | Name: get_macro_dashboard | Methods: {'GET'}
Route: /fee/calculate | Name: calculate_fee_api | Methods: {'GET'}
